timestamp	sharpe	sortino	calmar	cagr_pct	max_dd_pct	avg_positions	status	description
2026-03-28T02:41:56.775212	0.3437	0.4265	0.2946	9.52	-32.32	13.5	kept	baseline: quality-momentum multi-factor v1
2026-04-03T01:02:04.551983	0.3437	0.4265	0.2946	9.52	-32.32	13.5	kept	baseline: quality-momentum multi-factor v1
2026-04-03T01:03:46.264682	0.6063	0.7402	0.4102	13.47	-32.84	13.1	kept	v2: fix momentum calc (12m-1m), monthly rebalancing, relative strength filter
2026-04-03T01:28:18.449278	0.7135	0.8477	0.7258	14.99	-20.65	16.1	kept	exp3: graded trend filter (25/50/100% exposure) instead of binary cash
2026-04-03T01:28:45.272931	0.7107	0.8438	0.7126	14.94	-20.96	16.0	kept	exp4: tighten trailing stop to 15%
2026-04-03T01:29:36.645129	0.7025	0.8229	0.6347	15.09	-23.78	15.9	kept	exp5: add 52-week high proximity signal
2026-04-03T01:30:14.741621	0.6778	0.785	0.7218	13.98	-19.37	16.1	kept	exp6: portfolio drawdown circuit breaker (60% exposure when down 10% from peak)
2026-04-03T01:30:54.288391	0.9534	1.3045	1.2725	18.16	-14.27	7.9	kept	exp7: momentum acceleration filter (3m > 6m return)
2026-04-03T01:31:37.508879	0.9435	1.289	1.2524	18.24	-14.56	7.9	kept	exp8: equal weight instead of inverse-vol (concentrated portfolio)
2026-04-03T01:32:17.206446	0.2071	0.246	0.2565	7.79	-30.36	9.5	kept	exp9: stronger acceleration filter (3m > 12m instead of 3m > 6m)
2026-04-03T01:33:16.819121	0.9869	1.3439	1.3891	18.7	-13.46	7.9	kept	exp10: momentum acceleration as ranked factor in composite score
2026-04-03T01:34:38.227814	0.6788	0.8998	0.8826	14.31	-16.21	7.7	kept	exp11: 6-week rebalancing cadence (vs monthly)
2026-04-03T01:36:16.021804	0.9159	1.2287	1.33	17.9	-13.46	7.9	kept	exp12: death cross (50d < 200d) instead of price vs 100d MA
2026-04-03T01:37:03.170844	0.9642	1.3215	1.3092	18.44	-14.09	7.8	kept	exp13: 21-day vol window for inverse-vol weighting (vs 60-day)
2026-04-03T01:38:07.863720	0.9685	1.3252	1.3693	18.37	-13.41	7.9	kept	exp14: remove volume confirmation from composite score
2026-04-03T01:38:40.107023	0.9804	1.3328	1.3462	18.72	-13.9	7.8	kept	exp15: boost momentum weight to 50% in composite
2026-04-03T01:41:34.319235	0.9984	1.3602	1.4021	18.88	-13.46	7.9	kept	exp16: remove trailing stop
2026-04-03T01:41:48.453883	0.9984	1.3602	1.4021	18.88	-13.46	7.9	kept	exp16: remove trailing stop
2026-04-03T01:42:27.131316	0.9851	1.3381	1.4072	18.73	-13.31	7.9	kept	exp17: return consistency factor (positive months / 12)
2026-04-03T01:44:25.400208	0.4062	0.5086	0.3596	10.83	-30.11	8.8	kept	exp18: shorter skip 10d instead of 21d
2026-04-03T01:45:10.485224	0.9814	1.3392	1.4606	18.68	-12.79	7.9	kept	exp19: sector-relative momentum signal
2026-04-03T01:45:53.773360	0.8968	1.2714	1.0263	17.3	-16.86	6.6	kept	exp20: require rs_nifty > 3% threshold
2026-04-03T01:47:14.262079	0.9902	1.3494	1.3908	18.69	-13.44	7.9	kept	exp21: position cap 12% instead of 10%
2026-04-03T01:47:52.480722	1.0232	1.4013	1.5042	19.55	-13.0	7.9	kept	exp22: bear=40% caution=65% exposure (was 25/50)
2026-04-03T01:48:19.645554	1.0332	1.416	1.4844	19.98	-13.46	7.9	kept	exp23: bear=50% caution=75%
2026-04-03T01:48:46.889742	1.0383	1.4199	1.3048	20.39	-15.63	7.9	kept	exp24: bear=60% caution=85%
2026-04-03T01:49:18.986557	1.0347	1.4085	1.1635	20.71	-17.8	7.9	kept	exp25: bear=70% caution=90%
2026-04-03T01:49:55.576345	1.052	1.4283	1.0903	21.78	-19.97	9.0	kept	exp26: remove VIX-based position sizing
2026-04-03T01:50:26.728812	1.0363	1.4078	1.2074	20.97	-17.37	9.0	discarded	exp27: VIX as exposure scalar only (not position count)
2026-04-03T01:53:25.803696	0.8056	1.0636	0.6233	18.2	-29.2	9.4	discarded	exp28: 3-week rebalancing cadence (18 days)
2026-04-03T01:54:12.931531	1.074	1.4585	1.1091	22.14	-19.97	9.0	kept	exp29: 52-week high proximity as scored factor
2026-04-03T01:54:50.511157	1.0654	1.4515	1.1111	22.0	-19.8	8.5	discarded	exp30: sector cap 20%
2026-04-03T01:55:26.982582	1.0663	1.4615	1.127	22.1	-19.61	7.5	discarded	exp31: max_positions=15 (concentrated)
2026-04-03T01:56:03.052251	1.0608	1.4384	1.1167	21.75	-19.48	9.0	discarded	exp32: position cap 15%
2026-04-03T01:56:43.392830	0.8145	1.098	0.881	17.56	-19.94	8.7	discarded	exp33: 6-week rebalancing cadence (40 days)
2026-04-03T01:57:12.814095	1.0794	1.4778	1.2747	21.76	-17.07	9.0	kept	exp34: trend filter bear=50% caution=75%
2026-04-03T01:57:55.978545	1.079	1.4771	1.2741	21.75	-17.07	9.0	discarded	exp35: 3-tier trend filter with 150-day MA band
2026-04-03T01:58:41.198340	1.0643	1.4597	1.2606	21.52	-17.07	9.0	discarded	exp36: boost 52w-high weight to 0.17
2026-04-03T01:59:23.786770	0.6192	0.7672	0.4613	14.77	-32.01	11.9	discarded	exp37: blended 12m+6m RS vs Nifty
2026-04-03T01:59:59.669852	1.0799	1.4779	1.2679	21.78	-17.18	9.0	discarded	exp38: 52w-high proximity with 1-month skip
2026-04-03T02:00:29.199009	1.0889	1.4995	1.52	21.55	-14.17	9.0	kept	exp39: bear=40% caution=75% trend filter
2026-04-03T02:01:01.350745	1.0822	1.4909	1.4874	21.12	-14.2	9.0	discarded	exp40: bear=30% caution=65% (too defensive)
2026-04-03T02:01:27.232421	1.0839	1.4917	1.5133	21.45	-14.17	9.0	discarded	exp41: caution=70%
2026-04-03T02:02:11.839153	1.1063	1.5229	1.542	21.86	-14.17	8.9	kept	exp42: return consistency factor (fraction positive months)
2026-04-03T02:02:39.262299	1.0917	1.5044	1.5271	21.65	-14.17	8.9	discarded	exp43: consistency weight 0.15 (too high)
2026-04-03T02:03:20.847909	0.9688	1.3135	1.0145	18.34	-18.08	5.5	discarded	exp44: consistency>0.5 hard filter (too restrictive)
2026-04-03T02:03:57.040455	1.0891	1.5015	1.5268	21.61	-14.15	9.0	discarded	exp45: 120-day vol window (vs 60-day)
2026-04-03T02:04:23.976224	1.093	1.506	1.534	21.67	-14.13	8.9	discarded	exp46: 40-day vol window (vs 60-day)
2026-04-03T02:04:56.188942	1.0511	1.5093	1.5161	19.31	-12.73	7.6	discarded	exp47: volatility hard filter top-20% excluded
2026-04-03T02:05:30.990709	1.0934	1.4996	1.5337	21.75	-14.18	9.0	discarded	exp48: upweight recent momentum (0.30/0.35/0.35)
2026-04-03T02:06:34.992553	1.0916	1.5016	1.5066	21.56	-14.31	9.0	discarded	exp49: low-beta factor (60-day beta to Nifty)
2026-04-03T02:07:07.572668	1.0925	1.5046	1.5245	21.62	-14.18	8.9	discarded	exp50: remove vol_confirm from composite
2026-04-03T02:07:45.216078	1.1079	1.5261	1.5474	22.0	-14.21	8.9	kept	exp51: hybrid weighting 70% inv-vol + 30% equal-weight
2026-04-03T02:08:10.596311	1.1074	1.526	1.5467	22.06	-14.26	8.9	discarded	exp52: 50/50 inv-vol/equal blend (vs 70/30)
2026-04-03T02:08:44.143585	1.112	1.5322	1.5553	22.11	-14.22	8.9	kept	exp53: score-weighted blend 60% inv-vol + 25% equal + 15% score
2026-04-03T02:09:09.826282	1.113	1.5336	1.5574	22.13	-14.21	8.9	kept	exp54: 60/20/20 inv-vol/equal/score blend
2026-04-03T02:09:34.241854	1.114	1.5352	1.5596	22.15	-14.2	8.9	kept	exp55: 60/15/25 inv-vol/equal/score blend
2026-04-03T02:11:04.933601	1.1153	1.537	1.562	22.17	-14.19	8.9	kept	exp56: 60/10/30 inv-vol/equal/score blend
2026-04-03T02:15:28.697454	1.1177	1.5406	1.5663	22.21	-14.18	8.9	kept	exp57: 60/40 inv-vol/score blend (no equal-weight)
2026-04-03T02:15:58.426044	1.118	1.5407	1.5565	22.25	-14.29	8.9	discarded	exp58: 50/50 inv-vol/score (max DD worsened)
2026-04-03T02:16:31.920729	1.193	1.6597	1.5994	22.68	-14.18	8.9	kept	exp59: 50-day MA for bear threshold (vs 100-day)
2026-04-03T02:17:05.852856	1.2083	1.6866	1.5866	22.51	-14.19	8.9	kept	exp60: bear=30% with 50-day MA threshold
2026-04-03T02:17:32.548990	1.2154	1.694	1.5054	22.32	-14.83	8.9	kept	exp61: bear=20% with 50-day MA threshold
2026-04-03T02:18:09.540377	1.2135	1.6874	1.4292	22.11	-15.47	8.9	discarded	exp62: bear=10% (max DD worsened)
2026-04-03T02:18:37.930925	1.208	1.6834	1.5078	22.13	-14.68	8.9	discarded	exp63: caution=65% (vs 75%)
2026-04-03T02:19:41.391317	1.2426	1.8158	1.9544	22.44	-11.48	8.4	kept	exp64: short-term reversal screen (exclude top 10% 1m return)
2026-04-03T02:20:13.851113	1.1661	1.7044	1.5794	20.7	-13.11	8.1	discarded	exp65: reversal screen top 15% (too restrictive)
2026-04-03T02:20:47.217666	1.2446	1.7927	2.0772	22.65	-10.9	8.6	kept	exp66: reversal screen top 5% 1m return excluded
2026-04-03T02:21:43.384462	1.2548	1.8319	2.0644	22.51	-10.9	8.5	kept	exp67: reversal screen top 7.5% 1m return excluded
2026-04-03T02:22:26.650388	1.2481	1.8214	2.0565	22.43	-10.9	8.5	discarded	exp68: top 8% reversal screen
2026-04-03T02:24:32.428748	1.2483	1.813	1.8904	22.43	-11.86	8.5	discarded	exp69: 2-week micro-momentum factor
